pC,pA,pB,Q_stochastic,Q_input_state,Percentage Difference
0.1,1.0,1.0,67690.04542321204,67673.38823329461,0.024608034775699072
0.2,0.0,0.0,57205.353110909986,57369.24148429781,-0.2864913237578959
0.2,0.0,0.1,60054.06779851411,59674.59843303937,0.63187953686649
0.2,0.0,0.2,61864.58698760448,61600.43255684125,0.42698811004130016
0.2,0.0,0.30000000000000004,63144.66401606483,63146.74385570346,-0.0032937694277724926
0.2,0.0,0.4,63912.43821483467,64313.532329626,-0.6275681635601175
0.2,0.0,0.5,65069.74366220269,65100.79797860888,-0.04772466381212301
0.2,0.0,0.6000000000000001,65542.91921474444,65508.5408026521,0.052451756046599254
0.2,0.0,0.7000000000000001,65422.588602607866,65536.76080175565,-0.17451495207762446
0.2,0.0,0.8,65682.23810736527,65185.45797591952,0.7563386171976989
0.2,0.0,0.9,64443.22020157501,64454.63232514373,-0.017708804018519424
0.2,0.0,1.0,64015.171746882486,63344.28384942828,1.048013899122096
0.2,0.1,0.0,59471.17809700297,59702.82077029147,-0.3895040937488586
0.2,0.1,0.1,62315.63798796934,61717.70884269658,0.9595170082158176
0.2,0.1,0.2,63483.51486399274,63464.91810924691,0.029293832872481388
0.2,0.1,0.30000000000000004,64852.96316554694,64944.4485699425,-0.14106588185034244
0.2,0.1,0.4,66149.10852004454,66156.30022478332,-0.010871960181601036
0.2,0.1,0.5,66583.75625214225,67100.47307376939,-0.7760403598595621
0.2,0.1,0.6000000000000001,67533.20659294719,67776.96711690069,-0.3609491333985631
0.2,0.1,0.7000000000000001,68516.57695104013,68185.78235417722,0.48279498419671824
0.2,0.1,0.8,67572.23375424281,68326.918785599,-1.1168567167705952
0.2,0.1,0.9,67837.54677569418,68200.37641116601,-0.5348507614397298
0.2,0.1,1.0,68581.31439436984,67806.15523087826,1.1302774966284674
0.2,0.2,0.0,61611.468991605456,61641.86667912044,-0.04933770937862824
0.2,0.2,0.1,63336.6684179431,63480.20585413145,-0.22662612318219189
0.2,0.2,0.2,65071.4789417058,65126.54180302316,-0.08461904080386622
0.2,0.2,0.30000000000000004,66738.78835183827,66580.8745257956,0.23661476323209302
0.2,0.2,0.4,67740.19248332521,67843.20402244877,-0.15206856571734217
0.2,0.2,0.5,69248.69746312885,68913.53029298266,0.4840050173140764
0.2,0.2,0.6000000000000001,69821.61040443489,69791.85333739726,0.04261870625049319
0.2,0.2,0.7000000000000001,70141.65394648952,70478.1731556926,-0.4797708498003272
0.2,0.2,0.8,70942.49387569925,70972.48974786865,-0.042281953355002067
0.2,0.2,0.9,70842.40606048064,71274.80311392542,-0.6103647200740473
0.2,0.2,1.0,72860.16946382649,71385.11325386292,2.02450285364201
0.2,0.30000000000000004,0.0,63659.83778080224,63186.37921078469,0.7437319768985211
0.2,0.30000000000000004,0.1,65216.76127094992,64962.08946734395,0.3905005379643351
0.2,0.30000000000000004,0.2,66310.91778922168,66585.30363816998,-0.413786836461031
0.2,0.30000000000000004,0.30000000000000004,68103.11528348667,68056.02172326275,0.06915037590848327
0.2,0.30000000000000004,0.4,70144.03026203744,69374.24372262234,1.0974369971890772
0.2,0.30000000000000004,0.5,71254.02364361592,70539.96963624869,1.0021244708069301
0.2,0.30000000000000004,0.6000000000000001,71315.0692005567,71553.19946414183,-0.333912967139451
0.2,0.30000000000000004,0.7000000000000001,71178.64871888369,72413.93320630176,-1.735470551424437
0.2,0.30000000000000004,0.8,73062.91358910213,73122.17086272844,-0.08110444918685629
